sep=,
"loc_index","api_name","canonical_id","hidden","english_name","english_description","german_name","german_description","french_name","french_description","italian_name","italian_description","spanish_name","spanish_description","schinese_name","schinese_description","russian_name","russian_description","brazilian_name","brazilian_description","japanese_name","japanese_description","polish_name","polish_description"
"0","ACH_BASIC_0_WOODGATHERER","basic-0-woodGatherer","no","Gather Wood","Gather 500 wood in total.","Holz sammeln","Sammle insgesamt 500 Holz.","Récolter du bois","Récoltez 500 de bois au total.","Raccogli Legno","Raccogli 500 legno in totale.","Reunir madera","Reúne 500 de madera en total.","采集木材","累计采集500木材。","Собирать дерево","Соберите всего 500 дерева.","Coletar Madeira","Colete 500 de madeira no total.","木材を集める","木材を合計500集める。","Zbieraj drewno","Zbierz łącznie 500 drewna."
"1","ACH_BASIC_0_STONEMINER","basic-0-stoneMiner","no","Gather Stone","Gather 500 stone in total.","Stein sammeln","Sammle insgesamt 500 Stein.","Récolter de la pierre","Récoltez 500 de pierre au total.","Raccogli Pietra","Raccogli 500 pietra in totale.","Reunir piedra","Reúne 500 de piedra en total.","采集石料","累计采集500石头。","Собирать камень","Соберите всего 500 камня.","Coletar Pedra","Colete 500 de pedra no total.","石を集める","石を合計500集める。","Zbieraj kamień","Zbierz łącznie 500 kamienia."
"2","ACH_BASIC_0_IRONMINER","basic-0-ironMiner","no","Gather Iron","Gather 500 iron in total.","Eisen sammeln","Sammle insgesamt 500 Eisen.","Récolter du fer","Récoltez 500 de fer au total.","Raccogli Ferro","Raccogli 500 ferro in totale.","Reunir hierro","Reúne 500 de hierro en total.","采集铁矿","累计采集500铁。","Собирать железо","Соберите всего 500 железа.","Coletar Ferro","Colete 500 de ferro no total.","鉄を集める","鉄を合計500集める。","Zbieraj żelazo","Zbierz łącznie 500 żelaza."
"3","ACH_BASIC_0_COALMINER","basic-0-coalMiner","no","Gather Coal","Gather 500 coal in total.","Kohle sammeln","Sammle insgesamt 500 Kohle.","Récolter du charbon","Récoltez 500 de charbon au total.","Raccogli Carbone","Raccogli 500 carbone in totale.","Reunir carbón","Reúne 500 de carbón en total.","采集煤炭","累计采集500煤炭。","Собирать уголь","Соберите всего 500 угля.","Coletar Carvão","Colete 500 de carvão no total.","石炭を集める","石炭を合計500集める。","Zbieraj węgiel","Zbierz łącznie 500 węgla."
"4","ACH_BASIC_0_STEELFORGER","basic-0-steelForger","no","Forge Steel","Forge 250 steel in total.","Stahl schmieden","Schmiede insgesamt 250 Stahl.","Forger de l'acier","Forgez 250 d'acier au total.","Forgia Acciaio","Forgia 250 acciaio in totale.","Forjar acero","Forja 250 de acero en total.","锻造钢铁","累计锻造250钢。","Ковать сталь","Выкуйте всего 250 стали.","Forjar Aço","Forje 250 de aço no total.","鋼を鍛える","鋼を合計250鍛える。","Kuj stal","Wykuj łącznie 250 stali."
"5","ACH_BASIC_0_HUNTER","basic-0-hunter","no","Hunter","Gather 500 food in total.","Jagen","Sammle insgesamt 500 Nahrung.","Chasseur","Récoltez 500 de nourriture au total.","Cacciatore","Raccogli 500 cibo in totale.","Cazador","Reúne 500 de comida en total.","猎人","累计采集500食物。","Охотник","Соберите всего 500 еды.","Caçador","Colete 500 de comida no total.","狩人","食料を合計500集める。","Myśliwy","Zbierz łącznie 500 żywności."
"6","ACH_BASIC_0_TANNER","basic-0-tanner","no","Tanner","Gather 250 leather in total.","Gerber","Sammle insgesamt 250 Leder.","Tanneur","Récoltez 250 de cuir au total.","Conciatore","Raccogli 250 cuoio in totale.","Curtidor","Reúne 250 de cuero en total.","制革工","累计采集250皮革。","Кожевник","Соберите всего 250 кожи.","Curtidor","Colete 250 de couro no total.","皮職人","皮革を合計250集める。","Garbarz","Zbierz łącznie 250 skóry."
"7","ACH_BASIC_1_EXPLORER","basic-1-explorer","no","Explore Cave","Explore the cave 20 times.","Höhle erkunden","Erkunde die Höhle 20 Mal.","Explorer la grotte","Explorez la grotte 20 fois.","Esplora la Caverna","Esplora la caverna 20 volte.","Explorar la cueva","Explora la cueva 20 veces.","探索洞穴","探索洞穴20次。","Исследовать пещеру","Исследуйте пещеру 20 раз.","Explorar Caverna","Explore a caverna 20 vezes.","洞窟を探る","洞窟を20回探る。","Badaj jaskinię","Badaj jaskinię 20 razy."
"8","ACH_BASIC_1_TORCHCRAFTER","basic-1-torchCrafter","no","Craft Torches","Craft 50 torches in total.","Fackeln herstellen","Stelle insgesamt 50 Fackeln her.","Fabriquer des torches","Fabriquez 50 torches au total.","Fabbrica Torce","Crea 50 torce in totale.","Fabricar antorchas","Fabrica 50 antorchas en total.","制作火把","累计制作50个火把。","Делать факелы","Создайте всего 50 факелов.","Fabricar Tochas","Crie 50 tochas no total.","松明を作る","松明を合計50本作る。","Wytwarzaj pochodnie","Wytwórz łącznie 50 pochodni."
"9","ACH_BASIC_1_TOOLCRAFTER","basic-1-toolCrafter","no","Craft Tools","Own 5 different tools.","Werkzeuge herstellen","Besitze 5 verschiedene Werkzeuge.","Fabriquer des outils","Possédez 5 outils différents.","Fabbrica Strumenti","Possiedi 5 strumenti diversi.","Fabricar herramientas","Posee 5 herramientas distintas.","制作工具","拥有5种不同的工具。","Создавать инструменты","Владейте 5 разными инструментами.","Fabricar Ferramentas","Possua 5 ferramentas diferentes.","道具を作る","異なる道具を5種所有する。","Wytwarzaj narzędzia","Posiadaj 5 różnych narzędzi."
